# step, gen_loss, dis_loss
32200,  3.400841E+00,  1.034598E-01
32300,  3.628346E+00,  8.246490E-02
32400,  3.553198E+00,  9.096029E-02
32500,  3.600186E+00,  8.348921E-02
32600,  3.195151E+00,  1.242609E-01
32700,  3.343460E+00,  1.055705E-01
32800,  3.737942E+00,  5.912788E-02
32900,  3.404954E+00,  9.646406E-02
33000,  3.427544E+00,  1.043973E-01
33100,  3.670832E+00,  7.129435E-02
33200,  3.768698E+00,  7.502294E-02
33300,  3.321393E+00,  9.643666E-02
33400,  3.345288E+00,  9.637701E-02
33500,  3.131942E+00,  1.050923E-01
33600,  3.643448E+00,  9.944186E-02
33700,  3.421127E+00,  8.933823E-02
33800,  3.230108E+00,  1.168602E-01
33900,  3.492939E+00,  9.047113E-02
34000,  3.425750E+00,  9.025553E-02
34100,  3.562630E+00,  8.489984E-02
34200,  3.245925E+00,  1.050008E-01
34300,  3.603266E+00,  7.641055E-02
34400,  3.379318E+00,  8.599095E-02
34500,  3.684788E+00,  7.615078E-02
34600,  3.816688E+00,  6.241331E-02
34700,  3.289939E+00,  9.602191E-02
34800,  3.526834E+00,  9.389033E-02
34900,  3.769366E+00,  7.767113E-02
35000,  3.120796E+00,  1.097087E-01
35100,  3.324970E+00,  1.109990E-01
35200,  3.712415E+00,  8.980029E-02
35300,  3.305101E+00,  1.080226E-01
35400,  3.402849E+00,  8.426468E-02
35500,  3.459352E+00,  8.528948E-02
35600,  3.462234E+00,  9.267031E-02
35700,  3.598435E+00,  7.326160E-02
35800,  3.628560E+00,  8.959213E-02
35900,  3.675278E+00,  8.296724E-02
36000,  3.674749E+00,  7.181144E-02
36100,  3.579926E+00,  8.437912E-02
36200,  3.455904E+00,  1.009808E-01
36300,  3.469223E+00,  1.039501E-01
36400,  3.646977E+00,  8.078457E-02
36500,  3.345151E+00,  1.056473E-01
36600,  3.402590E+00,  8.727867E-02
36700,  3.501308E+00,  8.336630E-02
36800,  3.482057E+00,  9.176027E-02
36900,  3.527666E+00,  8.637115E-02
37000,  3.387971E+00,  9.389716E-02
37100,  3.620530E+00,  8.181334E-02
37200,  3.618459E+00,  8.434640E-02
37300,  3.209615E+00,  1.257524E-01
37400,  3.657019E+00,  7.007821E-02
37500,  3.315249E+00,  1.015196E-01
37600,  3.535040E+00,  7.870121E-02
37700,  3.590170E+00,  8.397364E-02
37800,  3.530876E+00,  9.472696E-02
37900,  3.477482E+00,  9.378701E-02
38000,  3.426288E+00,  8.508612E-02
38100,  3.421440E+00,  8.971472E-02
38200,  3.556729E+00,  8.249931E-02
38300,  3.383037E+00,  1.035999E-01
38400,  3.204333E+00,  1.163831E-01
38500,  3.554703E+00,  8.117730E-02
38600,  3.417725E+00,  8.099347E-02
38700,  3.678669E+00,  8.154956E-02
38800,  3.473289E+00,  1.034306E-01
38900,  3.930455E+00,  7.049077E-02
39000,  3.598976E+00,  8.051746E-02
39100,  3.062387E+00,  1.107232E-01
39200,  3.751633E+00,  6.646938E-02
39300,  3.167750E+00,  1.210549E-01
39400,  3.563070E+00,  7.741641E-02
39500,  3.558072E+00,  8.217452E-02
39600,  3.509825E+00,  9.058587E-02
39700,  3.547832E+00,  8.823251E-02
39800,  3.590969E+00,  9.193988E-02
39900,  3.188269E+00,  9.544773E-02
40000,  3.509460E+00,  8.442485E-02
40100,  3.682153E+00,  8.623940E-02
40200,  3.657171E+00,  8.471258E-02
40300,  3.567847E+00,  9.443767E-02
40400,  3.263158E+00,  1.243823E-01
40500,  3.410022E+00,  9.513833E-02
40600,  3.488707E+00,  8.331488E-02
40700,  3.475744E+00,  1.251694E-01
40800,  3.607212E+00,  9.136632E-02
40900,  3.731982E+00,  7.416565E-02
41000,  3.810503E+00,  7.848333E-02
41100,  3.301996E+00,  1.094668E-01
41200,  3.321445E+00,  9.995239E-02
41300,  3.445945E+00,  7.763176E-02
